bug_version,# of failing TCs,# of passing TCs,# of CCTCs,total # of TCs,# of lines executed by failing TCs,# of lines executed by passing TCs,total # of lines executed,total # of lines,total coverage
bug1,3,123,1,126,593,5993,6095,6674,91.32
bug2,3,124,0,127,692,6035,6122,6675,91.72
bug3,4,93,30,97,1206,4959,5419,6675,81.18
bug4,3,122,2,125,843,5935,6006,6674,89.99
bug5,1,122,4,123,849,5933,6043,6675,90.53
bug6,1,126,0,127,852,6021,6119,6675,91.67
bug7,5,116,6,121,1192,5775,5955,6675,89.21
bug8,2,125,0,127,1169,6013,6115,6675,91.61
bug9,1,126,0,127,913,6036,6096,6675,91.33
bug10,1,126,0,127,911,6036,6097,6675,91.34
bug11,3,124,0,127,1168,5937,6126,6675,91.78
bug12,24,103,0,127,1599,5451,5836,6675,87.43
bug13,24,103,0,127,2000,5451,6095,6675,91.31
bug14,16,61,50,77,843,3942,4294,6675,64.33
bug15,1,114,12,115,766,5754,5874,6675,88.00
bug16,1,116,10,117,966,5775,5903,6675,88.43
bug17,1,116,10,117,951,5775,5895,6675,88.31
bug18,1,122,4,123,997,5935,6019,6675,90.17
bug19,2,124,1,126,1078,5993,6100,6675,91.39
bug20,3,100,24,103,1194,5318,5508,6675,82.52
bug21,1,126,0,127,660,6032,6112,6672,91.61
bug22,2,125,0,127,1039,5961,6099,6675,91.37
bug23,1,126,0,127,1000,5994,6099,6675,91.37
bug24,3,124,0,127,1283,5923,6096,6675,91.33
bug25,1,125,1,126,862,5998,6106,6675,91.48
bug26,2,124,1,126,1266,5923,6078,6661,91.25
bug27,2,124,1,126,1271,5923,6083,6666,91.25
bug28,3,124,0,127,1295,5923,6108,6675,91.51
bug29,3,124,0,127,1312,5923,6117,6675,91.64
bug30,1,124,2,125,1000,5923,6057,6675,90.74
bug31,2,124,1,126,1286,5923,6101,6675,91.40
bug32,1,126,0,127,1025,5994,6117,6675,91.64
bug33,13,113,1,126,1477,5638,6046,6675,90.58
bug34,13,112,2,125,1479,5595,6038,6675,90.46
bug35,13,112,2,125,1479,5595,6038,6675,90.46
bug36,26,92,9,118,1636,4800,5600,6675,83.90
bug37,32,92,3,124,1957,4800,6047,6675,90.59
bug38,4,92,31,96,1233,4800,5348,6675,80.12
bug39,37,90,0,127,873,4692,4825,6675,72.28
bug40,1,126,0,127,649,5982,6092,6675,91.27
bug41,1,126,0,127,690,5982,6096,6675,91.33
bug42,5,121,1,126,959,5881,6073,6675,90.98
bug43,16,111,0,127,1130,5557,5995,6675,89.81
bug44,1,114,12,115,849,5754,5927,6675,88.79
bug45,1,118,8,119,755,5831,5915,6675,88.61
bug46,9,118,0,127,1117,5831,6107,6674,91.50
bug47,1,123,3,124,849,5889,6030,6675,90.34
bug48,4,123,0,127,957,5889,6078,6667,91.17
bug49,1,123,3,124,764,5889,5993,6675,89.78
bug50,2,123,2,125,938,5933,6097,6675,91.34
bug51,1,126,0,127,845,6014,6115,6675,91.61
bug52,4,111,12,115,1056,5557,5930,6675,88.84
bug53,1,110,16,111,662,5364,5576,6675,83.54
bug54,1,126,0,127,731,6053,6120,6675,91.69
