bug_id,original bug name,buggy jsoncpp file,buggyline
bug1,bug1,json_value.cpp,"bug1#src/lib_json/json_value.cpp#Value::resize(Json::Value::ArrayIndex newSize)#915"
bug2,bug2,json_reader.cpp,"bug2#src/lib_json/json_reader.cpp#Reader::readObject(class Json::Reader::Token & token)#467"
bug3,bug3,json_reader.cpp,"bug3#src/lib_json/json_reader.cpp#OurReader::skipBom(_Bool allowBom)#1279"
bug4,bug4,json_reader.cpp,"bug4#src/lib_json/json_reader.cpp#OurReader::decodeNumber(class Json::OurReader::Token & token, class Json::Value & decoded)#1628"
bug5,json_reader.MUT10330.cpp,json_reader.cpp,"json_reader.MUT10330.cpp#src/lib_json/json_reader.cpp#OurReader::readCppStyleComment()#1382"
bug6,json_reader.MUT10369.cpp,json_reader.cpp,"json_reader.MUT10369.cpp#src/lib_json/json_reader.cpp#OurReader::readCppStyleComment()#1387"
bug7,json_reader.MUT10462.cpp,json_reader.cpp,"json_reader.MUT10462.cpp#src/lib_json/json_reader.cpp#OurReader::readNumber(_Bool checkInf)#1399"
bug8,json_reader.MUT10645.cpp,json_reader.cpp,"json_reader.MUT10645.cpp#src/lib_json/json_reader.cpp#OurReader::readNumber(_Bool checkInf)#1407"
bug9,json_reader.MUT10773.cpp,json_reader.cpp,"json_reader.MUT10773.cpp#src/lib_json/json_reader.cpp#OurReader::readNumber(_Bool checkInf)#1413"
bug10,json_reader.MUT10858.cpp,json_reader.cpp,"json_reader.MUT10858.cpp#src/lib_json/json_reader.cpp#OurReader::readNumber(_Bool checkInf)#1415"
bug11,json_reader.MUT11067.cpp,json_reader.cpp,"json_reader.MUT11067.cpp#src/lib_json/json_reader.cpp#OurReader::readStringSingleQuote()#1440"
bug12,json_reader.MUT11377.cpp,json_reader.cpp,"json_reader.MUT11377.cpp#src/lib_json/json_reader.cpp#OurReader::readObject(class Json::OurReader::Token & token)#1471"
bug13,json_reader.MUT11398.cpp,json_reader.cpp,"json_reader.MUT11398.cpp#src/lib_json/json_reader.cpp#OurReader::readObject(class Json::OurReader::Token & token)#1473"
bug14,json_reader.MUT1147.cpp,json_reader.cpp,"json_reader.MUT1147.cpp#src/lib_json/json_reader.cpp#Reader::skipCommentTokens(class Json::Reader::Token & token)#233"
bug15,json_reader.MUT1230.cpp,json_reader.cpp,"json_reader.MUT1230.cpp#src/lib_json/json_reader.cpp#Reader::readToken(class Json::Reader::Token & token)#251"
bug16,json_reader.MUT12345.cpp,json_reader.cpp,"json_reader.MUT12345.cpp#src/lib_json/json_reader.cpp#OurReader::decodeNumber(class Json::OurReader::Token & token, class Json::Value & decoded)#1608"
bug17,json_reader.MUT12429.cpp,json_reader.cpp,"json_reader.MUT12429.cpp#src/lib_json/json_reader.cpp#OurReader::decodeNumber(class Json::OurReader::Token & token, class Json::Value & decoded)#1612"
bug18,json_reader.MUT12683.cpp,json_reader.cpp,"json_reader.MUT12683.cpp#src/lib_json/json_reader.cpp#OurReader::decodeNumber(class Json::OurReader::Token & token, class Json::Value & decoded)#1629"
bug19,json_reader.MUT12996.cpp,json_reader.cpp,"json_reader.MUT12996.cpp#src/lib_json/json_reader.cpp#OurReader::decodeDouble(class Json::OurReader::Token & token, class Json::Value & decoded)#1657"
bug20,json_reader.MUT13246.cpp,json_reader.cpp,"json_reader.MUT13246.cpp#src/lib_json/json_reader.cpp#OurReader::decodeString(class Json::OurReader::Token & token, Json::String & decoded)#1680"
bug21,json_reader.MUT14.cpp,json_reader.cpp,"json_reader.MUT14.cpp#src/lib_json/json_reader.cpp#Features::strictMode()#70"
bug22,json_reader.MUT14057.cpp,json_reader.cpp,"json_reader.MUT14057.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeCodePoint(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & unicode)#1736"
bug23,json_reader.MUT14345.cpp,json_reader.cpp,"json_reader.MUT14345.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeCodePoint(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & unicode)#1745"
bug24,json_reader.MUT14381.cpp,json_reader.cpp,"json_reader.MUT14381.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeEscapeSequence(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & ret_unicode)#1753"
bug25,json_reader.MUT1442.cpp,json_reader.cpp,"json_reader.MUT1442.cpp#src/lib_json/json_reader.cpp#Reader::readToken(class Json::Reader::Token & token)#290"
bug26,json_reader.MUT14425.cpp,json_reader.cpp,"json_reader.MUT14425.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeEscapeSequence(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & ret_unicode)#1758"
bug27,json_reader.MUT14472.cpp,json_reader.cpp,"json_reader.MUT14472.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeEscapeSequence(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & ret_unicode)#1760"
bug28,json_reader.MUT14512.cpp,json_reader.cpp,"json_reader.MUT14512.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeEscapeSequence(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & ret_unicode)#1761"
bug29,json_reader.MUT14545.cpp,json_reader.cpp,"json_reader.MUT14545.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeEscapeSequence(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & ret_unicode)#1762"
bug30,json_reader.MUT14578.cpp,json_reader.cpp,"json_reader.MUT14578.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeEscapeSequence(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & ret_unicode)#1763"
bug31,json_reader.MUT14591.cpp,json_reader.cpp,"json_reader.MUT14591.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeEscapeSequence(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & ret_unicode)#1764"
bug32,json_reader.MUT14661.cpp,json_reader.cpp,"json_reader.MUT14661.cpp#src/lib_json/json_reader.cpp#OurReader::decodeUnicodeEscapeSequence(class Json::OurReader::Token & token, Json::OurReader::Location & current, Json::OurReader::Location end, unsigned int & ret_unicode)#1766"
bug33,json_reader.MUT15097.cpp,json_reader.cpp,"json_reader.MUT15097.cpp#src/lib_json/json_reader.cpp#OurReader::getLocationLineAndColumn(Json::OurReader::Location location, int & line, int & column)#1819"
bug34,json_reader.MUT15229.cpp,json_reader.cpp,"json_reader.MUT15229.cpp#src/lib_json/json_reader.cpp#OurReader::getLocationLineAndColumn(Json::OurReader::Location location, int & line, int & column)#1831"
bug35,json_reader.MUT15264.cpp,json_reader.cpp,"json_reader.MUT15264.cpp#src/lib_json/json_reader.cpp#OurReader::getLocationLineAndColumn(Json::OurReader::Location location)#1836"
bug36,json_reader.MUT15481.cpp,json_reader.cpp,"json_reader.MUT15481.cpp#src/lib_json/json_reader.cpp#OurCharReader::parse(const char * beginDoc, const char * endDoc, class Json::Value * root, Json::String * errs)#1876"
bug37,json_reader.MUT15567.cpp,json_reader.cpp,"json_reader.MUT15567.cpp#src/lib_json/json_reader.cpp#OurCharReader::parse(const char * beginDoc, const char * endDoc, class Json::Value * root, Json::String * errs)#1878"
bug38,json_reader.MUT15684.cpp,json_reader.cpp,"json_reader.MUT15684.cpp#src/lib_json/json_reader.cpp#CharReaderBuilder::newCharReader()#1895"
bug39,json_reader.MUT16311.cpp,json_reader.cpp,"json_reader.MUT16311.cpp#src/lib_json/json_reader.cpp#CharReaderBuilder::setDefaults(Json::Value * settings)#1961"
bug40,json_reader.MUT2214.cpp,json_reader.cpp,"json_reader.MUT2214.cpp#src/lib_json/json_reader.cpp#Reader::addComment(Json::Reader::Location begin, Json::Reader::Location end, enum Json::CommentPlacement placement)#377"
bug41,json_reader.MUT2373.cpp,json_reader.cpp,"json_reader.MUT2373.cpp#src/lib_json/json_reader.cpp#Reader::readCStyleComment()#392"
bug42,json_reader.MUT2551.cpp,json_reader.cpp,"json_reader.MUT2551.cpp#src/lib_json/json_reader.cpp#Reader::readNumber()#416"
bug43,json_reader.MUT2953.cpp,json_reader.cpp,"json_reader.MUT2953.cpp#src/lib_json/json_reader.cpp#Reader::readString()#442"
bug44,json_reader.MUT2986.cpp,json_reader.cpp,"json_reader.MUT2986.cpp#src/lib_json/json_reader.cpp#Reader::readObject(class Json::Reader::Token & token)#450"
bug45,json_reader.MUT3346.cpp,json_reader.cpp,"json_reader.MUT3346.cpp#src/lib_json/json_reader.cpp#Reader::readObject(class Json::Reader::Token & token)#485"
bug46,json_reader.MUT3350.cpp,json_reader.cpp,"json_reader.MUT3350.cpp#src/lib_json/json_reader.cpp#Reader::readObject(class Json::Reader::Token & token)#486"
bug47,json_reader.MUT3510.cpp,json_reader.cpp,"json_reader.MUT3510.cpp#src/lib_json/json_reader.cpp#Reader::readArray(class Json::Reader::Token & token)#504"
bug48,json_reader.MUT3630.cpp,json_reader.cpp,"json_reader.MUT3630.cpp#src/lib_json/json_reader.cpp#Reader::readArray(class Json::Reader::Token & token)#524"
bug49,json_reader.MUT3713.cpp,json_reader.cpp,"json_reader.MUT3713.cpp#src/lib_json/json_reader.cpp#Reader::readArray(class Json::Reader::Token & token)#529"
bug50,json_reader.MUT3809.cpp,json_reader.cpp,"json_reader.MUT3809.cpp#src/lib_json/json_reader.cpp#Reader::decodeNumber(class Json::Reader::Token & token)#544"
bug51,json_reader.MUT4530.cpp,json_reader.cpp,"json_reader.MUT4530.cpp#src/lib_json/json_reader.cpp#Reader::decodeDouble(class Json::Reader::Token & token, class Json::Value & decoded)#606"
bug52,json_reader.MUT4776.cpp,json_reader.cpp,"json_reader.MUT4776.cpp#src/lib_json/json_reader.cpp#Reader::decodeString(class Json::Reader::Token & token, Json::String & decoded)#627"
bug53,json_reader.MUT534.cpp,json_reader.cpp,"json_reader.MUT534.cpp#src/lib_json/json_reader.cpp#Reader::parse(const char * beginDoc, const char * endDoc, class Json::Value & root, _Bool collectComments)#137"
bug54,json_reader.MUT5361.cpp,json_reader.cpp,"json_reader.MUT5361.cpp#src/lib_json/json_reader.cpp#Reader::decodeString(class Json::Reader::Token & token, Json::String & decoded)#668"
bug55,json_reader.MUT5712.cpp,json_reader.cpp,"json_reader.MUT5712.cpp#src/lib_json/json_reader.cpp#Reader::decodeUnicodeCodePoint(class Json::Reader::Token & token, Json::Reader::Location & current, Json::Reader::Location end, unsigned int & unicode)#688"
bug56,json_reader.MUT577.cpp,json_reader.cpp,"json_reader.MUT577.cpp#src/lib_json/json_reader.cpp#Reader::parse(const char * beginDoc, const char * endDoc, class Json::Value & root, _Bool collectComments)#142"
bug57,json_reader.MUT6049.cpp,json_reader.cpp,"json_reader.MUT6049.cpp#src/lib_json/json_reader.cpp#Reader::decodeUnicodeEscapeSequence(class Json::Reader::Token & token, Json::Reader::Location & current, Json::Reader::Location end, unsigned int & ret_unicode)#710"
bug58,json_reader.MUT6062.cpp,json_reader.cpp,"json_reader.MUT6062.cpp#src/lib_json/json_reader.cpp#Reader::decodeUnicodeEscapeSequence(class Json::Reader::Token & token, Json::Reader::Location & current, Json::Reader::Location end, unsigned int & ret_unicode)#711"
bug59,json_reader.MUT6179.cpp,json_reader.cpp,"json_reader.MUT6179.cpp#src/lib_json/json_reader.cpp#Reader::decodeUnicodeEscapeSequence(class Json::Reader::Token & token, Json::Reader::Location & current, Json::Reader::Location end, unsigned int & ret_unicode)#715"
bug60,json_reader.MUT634.cpp,json_reader.cpp,"json_reader.MUT634.cpp#src/lib_json/json_reader.cpp#Reader::parse(const char * beginDoc, const char * endDoc, class Json::Value & root, _Bool collectComments)#150"
bug61,json_reader.MUT6349.cpp,json_reader.cpp,"json_reader.MUT6349.cpp#src/lib_json/json_reader.cpp#Reader::decodeUnicodeEscapeSequence(class Json::Reader::Token & token, Json::Reader::Location & current, Json::Reader::Location end, unsigned int & ret_unicode)#724"
bug62,json_reader.MUT6760.cpp,json_reader.cpp,"json_reader.MUT6760.cpp#src/lib_json/json_reader.cpp#Reader::getLocationLineAndColumn(Json::Reader::Location location, int & line, int & column)#776"
bug63,json_reader.MUT701.cpp,json_reader.cpp,"json_reader.MUT701.cpp#src/lib_json/json_reader.cpp#Reader::readValue()#166"
bug64,json_reader.MUT7266.cpp,json_reader.cpp,"json_reader.MUT7266.cpp#src/lib_json/json_reader.cpp#Reader::pushError(const class Json::Value & value, const Json::String & message, const class Json::Value & extra)#843"
bug65,json_reader.MUT7297.cpp,json_reader.cpp,"json_reader.MUT7297.cpp#src/lib_json/json_reader.cpp#Reader::pushError(const class Json::Value & value, const Json::String & message, const class Json::Value & extra)#844"
bug66,json_reader.MUT7631.cpp,json_reader.cpp,"json_reader.MUT7631.cpp#src/lib_json/json_reader.cpp#OurReader::parse(const char * beginDoc, const char * endDoc, class Json::Value & root, _Bool collectComments)#1019"
bug67,json_reader.MUT8265.cpp,json_reader.cpp,"json_reader.MUT8265.cpp#src/lib_json/json_reader.cpp#OurReader::readValue()#1106"
bug68,json_reader.MUT834.cpp,json_reader.cpp,"json_reader.MUT834.cpp#src/lib_json/json_reader.cpp#Reader::readValue()#188"
bug69,json_reader.MUT8538.cpp,json_reader.cpp,"json_reader.MUT8538.cpp#src/lib_json/json_reader.cpp#OurReader::readValue()#1144"
bug70,json_reader.MUT874.cpp,json_reader.cpp,"json_reader.MUT874.cpp#src/lib_json/json_reader.cpp#Reader::readValue()#193"
bug71,json_reader.MUT8824.cpp,json_reader.cpp,"json_reader.MUT8824.cpp#src/lib_json/json_reader.cpp#OurReader::readToken(class Json::OurReader::Token & token)#1204"
bug72,json_reader.MUT8963.cpp,json_reader.cpp,"json_reader.MUT8963.cpp#src/lib_json/json_reader.cpp#OurReader::readToken(class Json::OurReader::Token & token)#1220"
bug73,json_reader.MUT8997.cpp,json_reader.cpp,"json_reader.MUT8997.cpp#src/lib_json/json_reader.cpp#OurReader::readToken(class Json::OurReader::Token & token)#1224"
bug74,json_reader.MUT9300.cpp,json_reader.cpp,"json_reader.MUT9300.cpp#src/lib_json/json_reader.cpp#OurReader::skipSpaces()#1268"
bug75,json_reader.MUT953.cpp,json_reader.cpp,"json_reader.MUT953.cpp#src/lib_json/json_reader.cpp#Reader::readValue()#201"
bug76,json_reader.MUT9587.cpp,json_reader.cpp,"json_reader.MUT9587.cpp#src/lib_json/json_reader.cpp#OurReader::match(const Json::OurReader::Char * pattern, int patternLength)#1293"
bug77,json_reader.MUT9627.cpp,json_reader.cpp,"json_reader.MUT9627.cpp#src/lib_json/json_reader.cpp#OurReader::readComment()#1303"
bug78,json_reader.MUT9934.cpp,json_reader.cpp,"json_reader.MUT9934.cpp#src/lib_json/json_reader.cpp#OurReader::normalizeEOL(class OurReader::Location begin, class OurReader::Location end)#1338"
bug79,json_value.MUT121.cpp,json_value.cpp,"json_value.MUT121.cpp#src/lib_json/json_value.cpp#integerToDouble(T value)#99"
