bug_version,# of failing_tc,# of passing_tc,# of total_tc,# of lines executed by failing TC,# of lines executed by passing tc,total # of lines executed,total # of lines, total coverage
bug1,3,124,127,333,2145,2173,6669,32.58
bug2,3,124,127,692,6035,6122,6675,91.72
bug3,4,123,127,1206,5959,6122,6675,91.72
bug4,3,124,127,843,6028,6098,6674,91.37
bug5,1,126,127,849,6021,6116,6675,91.63
bug6,1,126,127,852,6021,6119,6675,91.67
bug7,5,122,127,1192,5971,6097,6675,91.34
bug8,2,125,127,1169,6013,6115,6675,91.61
bug9,1,126,127,913,6036,6096,6675,91.33
bug10,1,126,127,431,2152,2166,6670,32.47
bug11,3,124,127,1168,5937,6126,6675,91.78
bug12,24,103,127,1599,5451,5836,6675,87.43
bug13,24,103,127,2000,5451,6095,6675,91.31
bug14,16,111,127,843,5557,5791,6675,86.76
bug15,1,126,127,769,6043,6124,6675,91.75
bug16,1,126,127,966,6034,6116,6675,91.63
bug17,1,126,127,951,6043,6118,6675,91.66
bug18,1,126,127,997,6040,6122,6675,91.72
bug19,2,125,127,1078,6028,6122,6675,91.72
bug20,3,124,127,1194,5916,6056,6675,90.73
bug21,1,126,127,660,6032,6112,6672,91.61
bug22,2,125,127,1039,5961,6099,6675,91.37
bug23,1,126,127,1000,5994,6099,6675,91.37
bug24,3,124,127,1283,5923,6096,6675,91.33
bug25,1,126,127,862,6014,6114,6675,91.60
bug26,2,125,127,1268,5962,6101,6661,91.59
bug27,2,125,127,1269,5965,6102,6666,91.54
bug28,3,124,127,1295,5923,6108,6675,91.51
bug29,3,124,127,1312,5923,6117,6675,91.64
bug30,1,126,127,1000,5994,6099,6675,91.37
bug31,2,125,127,1286,5973,6122,6675,91.72
bug32,1,126,127,1025,5994,6117,6675,91.64
bug33,13,114,127,1477,5741,6120,6675,91.69
bug34,13,114,127,1479,5738,6122,6675,91.72
bug35,13,114,127,1479,5738,6122,6675,91.72
bug36,26,101,127,1636,5257,5749,6675,86.13
bug37,32,95,127,1957,5080,6085,6675,91.16
bug38,4,123,127,1233,5892,6108,6675,91.51
bug39,37,90,127,873,4692,4825,6675,72.28
bug40,1,126,127,649,5982,6092,6675,91.27
bug41,1,126,127,690,5982,6096,6675,91.33
bug42,5,122,127,959,5950,6099,6675,91.37
bug43,16,111,127,1130,5557,5995,6675,89.81
bug44,1,126,127,849,6014,6124,6675,91.75
bug45,1,126,127,755,6043,6121,6675,91.70
bug46,9,118,127,1117,5831,6107,6674,91.50
bug47,1,126,127,849,6014,6124,6675,91.75
bug48,4,123,127,957,5889,6078,6667,91.17
bug49,1,126,127,764,6050,6124,6675,91.75
bug50,2,125,127,938,5974,6128,6675,91.81
bug51,1,126,127,845,6014,6115,6675,91.61
bug52,4,123,127,1056,5885,6098,6675,91.36
bug53,1,126,127,662,6034,6117,6675,91.64
bug54,1,126,127,731,6053,6120,6675,91.69
bug55,2,125,127,858,5972,6120,6675,91.69
bug56,1,126,127,723,6032,6124,6675,91.75
bug57,1,126,127,799,6013,6100,6675,91.39
bug58,2,125,127,822,5972,6102,6675,91.42
bug59,1,126,127,819,6026,6122,6675,91.72
bug60,7,120,127,924,5957,6118,6675,91.66
bug61,1,126,127,809,6020,6111,6675,91.55
bug62,8,119,127,1057,5911,6129,6675,91.82
bug63,1,126,127,717,5982,6097,6673,91.37
bug64,1,126,127,766,6018,6112,6675,91.57
bug65,1,126,127,767,6018,6113,6675,91.58
bug66,35,92,127,1614,4800,5542,6648,83.36
bug67,1,126,127,959,5984,6099,6675,91.37
bug68,1,126,127,845,6011,6121,6674,91.71
bug69,11,116,127,1472,5752,6122,6675,91.72
bug70,1,126,127,862,6014,6122,6673,91.74
bug71,3,124,127,897,6016,6092,6675,91.27
bug72,8,119,127,1491,5824,6119,6675,91.67
bug73,1,126,127,929,6036,6094,6675,91.30
bug74,27,100,127,1965,5353,6068,6675,90.91
bug75,1,126,127,846,6014,6124,6675,91.75
bug76,9,118,127,1575,5744,6107,6675,91.49
bug77,6,121,127,1239,5865,6062,6675,90.82
bug78,6,121,127,958,5865,6054,6675,90.70
bug79,2,125,127,779,5396,5589,6675,83.73
bug80,15,112,127,883,5540,5774,6675,86.50
bug81,1,126,127,582,6018,6108,6675,91.51
bug82,1,126,127,584,6018,6108,6675,91.51
bug83,2,125,127,923,5396,5691,6675,85.26
bug84,1,126,127,467,6041,6099,6675,91.37
bug85,1,126,127,467,6041,6099,6675,91.37
bug86,1,126,127,618,6002,6109,6675,91.52
bug87,8,119,127,692,5938,6109,6675,91.52
bug88,3,124,127,620,5990,6109,6675,91.52
bug89,1,126,127,515,6053,6109,6675,91.52
bug90,2,125,127,664,5976,6100,6666,91.51
bug91,1,126,127,554,6047,6108,6675,91.51
bug92,2,125,127,673,5976,6109,6675,91.52
bug93,2,125,127,613,5996,6109,6675,91.52
bug94,2,125,127,615,5996,6109,6675,91.52
bug95,9,118,127,771,5862,6109,6675,91.52
bug96,35,92,127,2822,4876,6114,6675,91.60
bug97,4,123,127,1053,5895,6132,6675,91.87
bug98,2,125,127,829,6031,6132,6675,91.87
bug99,72,55,127,2759,3437,4758,6672,71.31
bug100,1,126,127,293,2156,2171,6670,32.55
bug101,2,125,127,368,2129,2154,6669,32.30
bug102,1,126,127,349,2156,2174,6670,32.59
bug103,2,125,127,784,1923,2176,6670,32.62
bug104,2,125,127,655,1920,2174,6670,32.59
bug105,2,125,127,710,1842,2174,6670,32.59
bug106,1,126,127,650,6023,6124,6675,91.75
bug107,1,126,127,1246,5532,6122,6675,91.72
bug108,1,126,127,630,6023,6122,6675,91.72
bug109,1,126,127,1248,5532,6124,6675,91.75
bug110,1,126,127,1248,5532,6124,6675,91.75
bug111,2,125,127,565,5940,6004,6675,89.95
bug112,4,123,127,1499,5396,6099,6675,91.37
bug113,2,125,127,953,5396,5735,6675,85.92
bug114,2,125,127,650,5991,6099,6675,91.37
bug115,2,125,127,650,5991,6099,6675,91.37
bug116,3,124,127,848,5906,6099,6675,91.37
bug117,3,124,127,822,5921,6099,6675,91.37
bug118,3,124,127,848,5906,6099,6675,91.37
bug119,4,123,127,1457,5404,6099,6675,91.37
bug120,1,126,127,693,5975,6125,6675,91.76
bug121,1,126,127,644,6026,6124,6675,91.75
bug122,4,123,127,605,5993,6115,6675,91.61
bug123,1,126,127,527,6032,6108,6675,91.51
bug124,11,116,127,1942,5637,6097,6675,91.34
bug125,12,115,127,1967,5454,6115,6675,91.61
bug126,2,125,127,1189,5961,6122,6675,91.72
bug127,17,110,127,2095,5476,6137,6675,91.94
bug128,1,126,127,548,6038,6122,6675,91.72
bug129,1,126,127,716,6038,6122,6675,91.72
bug130,2,125,127,1010,5884,6122,6675,91.72
bug131,62,65,127,1840,3754,4748,6675,71.13
bug132,49,78,127,1301,4235,4853,6675,72.70
bug133,18,109,127,1554,5589,6068,6675,90.91
bug134,1,126,127,769,5999,6122,6675,91.72
bug135,1,126,127,769,5999,6122,6675,91.72
bug136,1,126,127,769,5999,6122,6675,91.72
bug137,1,126,127,561,5999,6085,6675,91.16
bug138,1,126,127,769,5999,6122,6675,91.72
bug139,1,126,127,589,6037,6123,6676,91.72
bug140,3,124,127,971,5938,6126,6675,91.78
bug141,1,126,127,830,6015,6123,6675,91.73
bug142,3,124,127,1095,5999,6126,6675,91.78
bug143,3,124,127,952,5483,5624,6675,84.25
bug144,5,122,127,959,5852,6134,6675,91.90
bug145,1,126,127,1258,5532,6134,6675,91.90
bug146,1,126,127,1258,5532,6134,6675,91.90
bug147,7,120,127,1724,5139,6128,6669,91.89
bug148,2,125,127,1374,5396,6134,6675,91.90
bug149,4,123,127,653,5887,6002,6675,89.92
bug150,3,124,127,906,5934,6122,6675,91.72
bug151,2,125,127,863,5997,6124,6675,91.75
bug152,1,126,127,940,5905,6084,6675,91.15
bug153,1,126,127,975,5905,6122,6675,91.72
bug154,1,126,127,974,5905,6122,6675,91.72
bug155,1,126,127,1020,5905,6122,6675,91.72
bug156,1,126,127,1246,5532,6122,6675,91.72
average,5.64,121.36,127.00,993.29,5617.13,5849.81,6674.19,87.65,
