# of failing_tc,# of passing_tc,# of total_tc,# of lines executed by failing TC,# of lines executed by passing tc,total # of lines executed,total # of lines, total coverage
3,124,127,333,2145,2173,6669,0.3258359574149048
1,126,127,431,2152,2166,6670,0.3247376311844078
1,126,127,293,2156,2171,6670,0.3254872563718141
2,125,127,368,2129,2154,6669,0.32298695456590193
1,126,127,349,2156,2174,6670,0.32593703148425784
2,125,127,784,1923,2176,6670,0.32623688155922037
2,125,127,655,1920,2174,6670,0.32593703148425784
2,125,127,710,1842,2174,6670,0.32593703148425784
1,126,127,650,6023,6124,6675,0.9174531835205992
1,126,127,1246,5532,6122,6675,0.9171535580524345
1,126,127,630,6023,6122,6675,0.9171535580524345
1,126,127,1248,5532,6124,6675,0.9174531835205992
3,124,127,1168,5937,6126,6675,0.917752808988764
1,126,127,1248,5532,6124,6675,0.9174531835205992
2,125,127,565,5940,6004,6675,0.8994756554307116
4,123,127,1499,5396,6099,6675,0.9137078651685393
2,125,127,953,5396,5735,6675,0.8591760299625468
2,125,127,650,5991,6099,6675,0.9137078651685393
2,125,127,650,5991,6099,6675,0.9137078651685393
3,124,127,848,5906,6099,6675,0.9137078651685393
3,124,127,822,5921,6099,6675,0.9137078651685393
3,124,127,848,5906,6099,6675,0.9137078651685393
4,123,127,1457,5404,6099,6675,0.9137078651685393
24,103,127,1599,5451,5836,6675,0.8743071161048689
1,126,127,693,5975,6125,6675,0.9176029962546817
1,126,127,644,6026,6124,6675,0.9174531835205992
4,123,127,605,5993,6115,6675,0.9161048689138577
1,126,127,527,6032,6108,6675,0.9150561797752809
11,116,127,1942,5637,6097,6675,0.9134082397003745
12,115,127,1967,5454,6115,6675,0.9161048689138577
2,125,127,1189,5961,6122,6675,0.9171535580524345
17,110,127,2095,5476,6137,6675,0.9194007490636704
1,126,127,548,6038,6122,6675,0.9171535580524345
1,126,127,716,6038,6122,6675,0.9171535580524345
24,103,127,2000,5451,6095,6675,0.9131086142322098
2,125,127,1010,5884,6122,6675,0.9171535580524345
62,65,127,1840,3754,4748,6675,0.711310861423221
49,78,127,1301,4235,4853,6675,0.7270411985018727
18,109,127,1554,5589,6068,6675,0.909063670411985
1,126,127,769,5999,6122,6675,0.9171535580524345
1,126,127,769,5999,6122,6675,0.9171535580524345
1,126,127,769,5999,6122,6675,0.9171535580524345
1,126,127,561,5999,6085,6675,0.9116104868913858
1,126,127,769,5999,6122,6675,0.9171535580524345
1,126,127,589,6037,6123,6676,0.9171659676452966
16,111,127,843,5557,5791,6675,0.8675655430711611
3,124,127,971,5938,6126,6675,0.917752808988764
1,126,127,830,6015,6123,6675,0.9173033707865168
3,124,127,1095,5999,6126,6675,0.917752808988764
3,124,127,952,5483,5624,6675,0.8425468164794008
5,122,127,959,5852,6134,6675,0.9189513108614232
1,126,127,1258,5532,6134,6675,0.9189513108614232
1,126,127,1258,5532,6134,6675,0.9189513108614232
7,120,127,1724,5139,6128,6669,0.9188783925626031
2,125,127,1374,5396,6134,6675,0.9189513108614232
4,123,127,653,5887,6002,6675,0.8991760299625469
1,126,127,766,6043,6124,6675,0.9174531835205992
3,124,127,906,5934,6122,6675,0.9171535580524345
2,125,127,863,5997,6124,6675,0.9174531835205992
1,126,127,940,5905,6084,6675,0.9114606741573034
1,126,127,975,5905,6122,6675,0.9171535580524345
1,126,127,974,5905,6122,6675,0.9171535580524345
1,126,127,1020,5905,6122,6675,0.9171535580524345
1,126,127,1246,5532,6122,6675,0.9171535580524345
1,126,127,966,6034,6116,6675,0.9162546816479401
1,126,127,951,6043,6118,6675,0.9165543071161049
1,126,127,997,6040,6122,6675,0.9171535580524345
2,125,127,1078,6028,6122,6675,0.9171535580524345
3,124,127,692,6035,6122,6675,0.9171535580524345
3,124,127,1194,5916,6056,6675,0.9072659176029962
1,126,127,660,6032,6112,6672,0.9160671462829736
2,125,127,1039,5961,6099,6675,0.9137078651685393
1,126,127,1000,5994,6099,6675,0.9137078651685393
3,124,127,1283,5923,6096,6675,0.9132584269662921
1,126,127,862,6014,6114,6675,0.9159550561797752
2,125,127,1266,5962,6099,6661,0.9156282840414353
2,125,127,1271,5965,6104,6666,0.9156915691569157
3,124,127,1295,5923,6108,6675,0.9150561797752809
3,124,127,1312,5923,6117,6675,0.9164044943820224
4,123,127,1206,5959,6122,6675,0.9171535580524345
1,126,127,1000,5994,6099,6675,0.9137078651685393
2,125,127,1286,5973,6122,6675,0.9171535580524345
1,126,127,1025,5994,6117,6675,0.9164044943820224
13,114,127,1477,5741,6120,6675,0.9168539325842696
13,114,127,1479,5738,6122,6675,0.9171535580524345
13,114,127,1479,5738,6122,6675,0.9171535580524345
26,101,127,1636,5257,5749,6675,0.8612734082397003
32,95,127,1957,5080,6085,6675,0.9116104868913858
4,123,127,1233,5892,6108,6675,0.9150561797752809
37,90,127,873,4692,4825,6675,0.7228464419475655
3,124,127,843,6028,6098,6674,0.913694935570872
1,126,127,649,5982,6092,6675,0.9126591760299625
1,126,127,690,5982,6096,6675,0.9132584269662921
5,122,127,959,5950,6099,6675,0.9137078651685393
16,111,127,1130,5557,5995,6675,0.89812734082397
1,126,127,849,6014,6124,6675,0.9174531835205992
1,126,127,755,6043,6121,6675,0.917003745318352
9,118,127,1117,5831,6107,6674,0.9150434522025772
1,126,127,849,6014,6124,6675,0.9174531835205992
4,123,127,957,5889,6078,6667,0.9116544172791361
1,126,127,764,6050,6124,6675,0.9174531835205992
1,126,127,849,6021,6116,6675,0.9162546816479401
2,125,127,938,5974,6128,6675,0.9180524344569289
1,126,127,845,6014,6115,6675,0.9161048689138577
4,123,127,1056,5885,6098,6675,0.913558052434457
1,126,127,662,6034,6117,6675,0.9164044943820224
1,126,127,731,6053,6120,6675,0.9168539325842696
2,125,127,858,5972,6120,6675,0.9168539325842696
